Name,Description,Duration,Year,Type
Juno,"Cuando Juno (Ellen Page) queda embarazada sin planearlo de su mejor amigo, Bleeker (Michael Cera), la joven poco convencional decide tomar una ruta inusual para encontrar una pareja adecuada de padres adoptivos para criar a su hijo por nacer.","1 horas, 54 minutos",2007,movie
Enfrentando a Alí,"¿Cómo se siente enfrentar al luchador más famoso del mundo? Muhammad Ali, tres veces campeón mundial de peso pesado, derrotó a casi todos los luchadores principales en la edad dorada del boxeo.","1 horas, 59 minutos",2009,movie
La familia Bélier,"En la familia Bélier todo el mundo es sordo, excepto Paula, de 16 años. Ella es esencial para sus padres como intérprete en el día a día, sobre todo para el funcionamiento de la granja de la familia.","2 horas, 3 minutos",2014,movie
12 horas (Gone),"Amanda Seyfried (El precio del mañana, La chica de la capa roja) interpreta este intenso thriller acerca de una joven desesperada que, tras ser ignorada por la policía, debe salir a buscar al asesino serial que ella cree secuestró a su hermana menor.","1 horas, 53 minutos",2012,movie
Locura Por El Tiempo,Un estudiante universitario construye una máquina del tiempo para evitar que su novia rompa con él. Basado en el cortometraje del mismo nombre.,"2 horas, 3 minutos",2018,movie
El tazón del pavo,"Los amigos se reúnen para el Día de Acción de Gracias para terminar el legendario Turkey Bowl, un juego de fútbol que se canceló debido a la nieve hace 15 años.","2 horas, 20 minutos",2019,movie
La Música del Silencio,"Biopic sobre el tenor y músico italiano Andrea Bocelli. A pesar de haber nacido con un grave problema de vista que finalizará en ceguera, Bocelli supera todo tipo de obstáculos, guiado por grandes ambiciones hacia su pasión, la música.","2 horas, 15 minutos",2018,movie
Los Acordes de la Vida,"Kyle lidia con la paternidad en medio de una batalla por la custodia, lo que lo lleva a un viaje de redención y perdón.","1 horas, 45 minutos",2012,movie
Episodio 1,Emergente es un proyecto que se creó de la mano de estudiantes del Tec de Monterrey que busca dar a conocer nuevos talentos de la comedia para ayudarlos a impulsar sus carreras profesionales.,"0 horas, 35 minutos",2023,movie
Episodio 1,Emergente es un proyecto que se creó de la mano de estudiantes del Tec de Monterrey que busca dar a conocer nuevos talentos de la música para ayudarlos a impulsar sus carreras profesionales.,"0 horas, 24 minutos",2023,movie
Persecución Mortal,"El ladrón lleva a cabo el robo de su vida cuando roba al psicótico señor de la droga, Temple. El plan se lleva a cabo sin problemas hasta que el ladrón descubre un polizón en su coche de huida: la esposa embarazada de Temple, Mia.","1 horas, 47 minutos",2022,movie
En el juego del Asesino,"La policía detiene a un psicópata al que se le relaciona con múltiples raptos y asesinatos de mujeres, pero su captura será solo el principio de una cuenta atrás en busca de sus víctimas","1 horas, 56 minutos",2019,movie
Stano,"Después de haber cumplido una pena de prisión de 17 años por un violento error que cometió en su juventud, un exjugador de béisbol regresa a su barrio en el Bronx.","2 horas, 10 minutos",2019,movie
Persiguiendo un Sueño,"La historia de Michelle Payne, la primera mujer jockey en ganar la Copa de Melbourne.","1 horas, 56 minutos",2020,movie
Atrapados,"El desastre del submarino 2000 K-141 Kursk  es seguido por negligencia gubernamental. Mientras los marineros luchan por sobrevivir, sus familias luchan desesperadamente contra obstáculos políticos y obstáculos imposibles para salvarlos.","2 horas, 17 minutos",2019,movie
No apartes la Mirada,"No se mueve, no piensa, simplemente mata. Para una mujer joven, un encuentro casual con esta entidad sobrenatural resulta devastador. Frankie aprende que una vez que vea el maniquí es posible que no haya un final a la vista excepto el suyo propio.","1 horas, 39 minutos",2022,movie
Misión Secreta,Un senador estadounidense es asesinado en Washington por un espía ruso. Un agente de la CIA retirado (Richard Gere) se ve obligado a colaborar con un joven agente del FBI (Topher Grace) para atrapar al criminal.,"1 horas, 56 minutos",2010,movie
El Gran amante,"En la década de 1930, el guitarrista de jazz Emmet Ray idolatra a Django Reinhardt, se enfrenta a gánsteres y se enamora de una mujer muda.","1 horas, 49 minutos",1998,movie
Oculus,"Una mujer intenta exonerar a su hermano, condenado por asesinato, demostrando que el crimen fue cometido por un fenómeno sobrenatural.","2 horas, 1 minutos",2014,movie
Autumn in New York,"Will Keane es el propietario de uno de los restaurantes más famosos y prestigiosos de Nueva York. Su carisma y seguridad le convierten en un imán para las mujeres, con las que se relaciona sin comprometerse.","2 horas, 2 minutos",1999,movie
